Scheme Name	Net Asset Value
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	10.9931
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
	
	
	
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1702.6842
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1261.0585
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	2935.1655
Invesco India Corporate Bond Fund - Direct Plan - Growth	2934.2367
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1257.0771
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1189.3586
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	2894.2673
Invesco India Corporate Bond Fund - Growth	2756.9558
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1580.1956
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1155.303
	
	
	
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3389.1731
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1077.0079
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3265.4908
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1063.7708
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
	
	
	
Mirae Asset Corporate Bond Fund Direct Growth Plan	11.2586
Mirae Asset Corporate Bond Fund Direct IDCW	11.2569
Mirae Asset Corporate Bond Fund Regular Growth	11.1353
